,Replicate,Sample,Control
426,PE_CA.PJ.34Clone.C12.311Cas9_RepB_p5_batch2,ACH-000606,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
427,PE_CA.PJ.34Clone.C12.311Cas9_RepC_p5_batch2,ACH-000606,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
428,EFM19.311cas9_RepA_p5_batch2,ACH-000330,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
429,EFM19.311cas9_RepB_p5_batch2,ACH-000330,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
430,MDAMB231.311Cas9_RepA_p5_batch2,ACH-000768,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
431,MDAMB231.311Cas9_RepB_p5_batch2,ACH-000768,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
432,SK.N.FI.311Cas9.Rep.A.p3_batch2,ACH-000341,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
433,SK.N.FI.311Cas9.Rep.B.p3_batch2,ACH-000341,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
434,OV7.311cas9_RepA_p4_batch2,ACH-000688,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
435,OV7.311cas9_RepB_p4_batch2,ACH-000688,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
436,EFO.27.311Cas9_RepA_p6_batch2,ACH-000936,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
437,EFO.27.311Cas9_RepB_p6_batch2,ACH-000936,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
438,A2780.311cas9.Rep.A.p6_batch2,ACH-000657,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
439,A2780.311cas9.Rep.B.p6_batch2,ACH-000657,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
440,KMS.26.311Cas9_RepA_p6_batch2,ACH-000588,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
441,KMS.26.311Cas9_RepB_p6_batch2,ACH-000588,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
442,NCI.H1581.311Cas9_RepA_p6_batch2,ACH-000015,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
443,NCI.H1581.311Cas9_RepB_p6_batch2,ACH-000015,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
444,Hs766T.311Cas9_RepA_p6_batch2,ACH-000178,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
445,Hs766T.311Cas9_RepB_p6_batch2,ACH-000178,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
446,SW403.311Cas9_RepB_p5_batch2,ACH-000820,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
447,Cov504.311Cas9_RepA_p6_batch2,ACH-001048,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
448,Cov504.311Cas9_RepB_p6_batch2,ACH-001048,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
449,RT112..311Cas9_RepA_p6_batch2,ACH-000473,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
450,RT112..311Cas9_RepB_p6_batch2,ACH-000473,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
451,My.La.311cas9.Rep.A.p6_batch2,ACH-001134,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
452,My.La.311cas9.Rep.B.p6_batch2,ACH-001134,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
453,LP.1.311Cas9_RepA_p6_batch2,ACH-000204,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
454,LP.1.311Cas9_RepB_p6_batch2,ACH-000204,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
455,HCC.95.311Cas9_RepA_p6_batch2,ACH-000454,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
456,HCC.95.311Cas9_RepB_p6_batch2,ACH-000454,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
457,NCI.H460.311Cas9_RepA_p6_batch2,ACH-000463,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
458,NCI.H460.311Cas9_RepB_p6_batch2,ACH-000463,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
459,R262.311Cas9_RepA_p6_batch2,ACH-001173,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
460,R262.311Cas9_RepC_p6_batch2,ACH-001173,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
461,PEDS005TPFAD.311Cas9_RepA_p6_batch2,ACH-001163,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
462,PEDS005TPFAD.311Cas9_RepB_p6_batch2,ACH-001163,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
463,WM793.311Cas9_RepA_p6_batch2,ACH-000827,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
464,WM793.311Cas9_RepB_p6_batch2,ACH-000827,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
465,SNU349.311Cas9_RepA_p6_batch2,ACH-000907,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
466,SNU349.311Cas9_RepB_p6_batch2,ACH-000907,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
467,HSC3.311Cas9_RepA_p4_batch2,ACH-000778,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
468,HSC3.311Cas9_RepB_p4_batch2,ACH-000778,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
469,LUDLU1.311Cas9_RepA_p4_batch2,ACH-000390,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
470,LUDLU1.311Cas9_RepB_p4_batch2,ACH-000390,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
471,CAKI.1.311Cas9_RepA_p4_batch2,ACH-000433,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
472,CAKI.1.311Cas9_RepB_p4_batch2,ACH-000433,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
473,KYSE70.311Cas9_RepA_p5_batch2,ACH-000784,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
474,KYSE70.311Cas9_RepB_p5_batch2,ACH-000784,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
475,UW228.311Cas9_RepB_p6_batch2,ACH-001232,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
476,U251MG.311Cas9_RepA_p6_batch2,ACH-000232,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
477,U251MG.311Cas9_RepB_p6_batch2,ACH-000232,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
478,HCC1954.311Cas9_RepB_p6_batch2,ACH-000859,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
479,HCC1954.311Cas9_RepC_p6_batch2,ACH-000859,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
480,KMS.11.311Cas9_RepA_p5_batch2,ACH-000714,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
481,IGR.39.311Cas9_RepA_p5_batch2,ACH-000550,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
482,IGR.39.311Cas9_RepB_p5_batch2,ACH-000550,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
483,SK.N.DZ.311Cas9_RepA_p5_batch2,ACH-000366,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
484,SK.N.DZ.311Cas9_RepB_p5_batch2,ACH-000366,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
485,MelJuso.311Cas9_RepA_p6_batch2,ACH-000881,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
486,MelJuso.311Cas9_RepB_p6_batch2,ACH-000881,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
487,CAL.29.311Cas9_RepA_p6_batch2,ACH-000142,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
488,CAL.29.311Cas9_RepB_p6_batch2,ACH-000142,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
489,TE.5.311Cas9_RepA_p6_batch2,ACH-000408,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
490,TE.5.311Cas9_RepB_p6_batch2,ACH-000408,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
491,SNU.201.311Cas9_RepA_p6_batch2,ACH-000623,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
492,SNU.201.311Cas9_RepB_p6_batch2,ACH-000623,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
493,OE33.311Cas9_RepA_p4_batch2,ACH-000383,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
494,OE33.311Cas9_RepB_p4_batch2,ACH-000383,Avana4pDNA20160601.311cas9.RepG09_batch2:Avana4pDNA20160601.311cas9.RepG10_batch2:Avana4pDNA20160601.311cas9.RepG11_batch2:Avana4pDNA20160601.311cas9.RepG12_batch2
495,MDAMB435S.311Cas9_RepA_p6_batch3,ACH-000884,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
496,MDAMB435S.311Cas9_RepB_p6_batch3,ACH-000884,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
497,SW48.311Cas9_RepA_p6_batch3,ACH-000958,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
498,SW48.311Cas9_RepB_p6_batch3,ACH-000958,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
499,HCC15.311Cas9_RepA_p5_batch3,ACH-000878,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
500,HCC15.311Cas9_RepB_p5_batch3,ACH-000878,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
501,GI.1.311Cas9_RepA_p6_batch3,ACH-000756,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
502,TE.1..311Cas9_RepA_p5_batch3,ACH-000647,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
503,TE.1..311Cas9_RepB_p5_batch3,ACH-000647,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
504,KNS42.311Cas9_RepA_p4_batch3,ACH-000622,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
505,KNS42.311Cas9_RepB_p4_batch3,ACH-000622,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
506,HCC1937.311Cas9_RepA_p5_batch3,ACH-000223,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
507,HCC1937.311Cas9_RepB_p5_batch3,ACH-000223,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
508,U2.OS.311Cas9_RepA_p6_batch3,ACH-000364,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
509,U2.OS.311Cas9_RepB_p6_batch3,ACH-000364,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
510,SJSA.1..311Cas9_RepA_p6_batch3,ACH-000748,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
511,KMS27.311Cas9_RepA_p6_batch3,ACH-000576,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
512,KMS27.311Cas9_RepB_p6_batch3,ACH-000576,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
513,EJM..311Cas9_RepA_p4_batch3,ACH-000821,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
514,EJM..311Cas9_RepB_p4_batch3,ACH-000821,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
515,RKN.311Cas9_RepA_p6_batch3,ACH-000505,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
516,RKN.311Cas9_RepB_p6_batch3,ACH-000505,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
517,RPMI7951.311Cas9_RepA_p5_batch3,ACH-000348,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
518,RPMI7951.311Cas9_RepB_p5_batch3,ACH-000348,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
519,NCI.H2110.311Cas9_RepA_p6_batch3,ACH-000929,Avana.4..Hu.pDNA..M.AA40..9.30.15._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15...0.2pg.uL._batch3:Avana.4..Hu.pDNA..M.AA40..9.30.15..0.2pg.uL_batch3:Avana.4..Hu.pDNA..M.AF34..11.27.18..0.2pg.uL_batch3
