,Replicate,Sample,Control
39,NCI.H23.311Cas9.Rep.D.p5_batch0,ACH-000900,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
40,Panc.02.03.311cas9.Rep.A.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
41,Panc.02.03.311cas9.Rep.B.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
42,Panc.02.03.311cas9.Rep.C.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
43,Panc.02.03.311cas9.Rep.D.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
44,Panc.04.03.311Cas9.Rep.A.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
45,Panc.04.03.311Cas9.Rep.B.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
46,Panc.04.03.311Cas9.Rep.C.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
47,Panc.04.03.311Cas9.Rep.D.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
48,SNU.213.311Cas9.Rep.A.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
49,SNU.213.311Cas9.Rep.B.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
50,SNU.213.311Cas9.Rep.C.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
51,SNU.213.311Cas9.Rep.D.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
52,NCI.H1944.311cas9.Rep.A.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
53,NCI.H1944.311cas9.Rep.B.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
54,NCI.H1944.311cas9.Rep.C.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
55,NCI.H1944.311cas9.Rep.D.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
56,NCI.H2122.311cas9.Rep.A.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
57,NCI.H2122.311cas9.Rep.B.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
58,NCI.H2122.311cas9.Rep.C.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
59,NCI.H2122.311cas9.Rep.D.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
60,YAPC.311Cas9.Rep.A.p6_batch0,ACH-000332,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
61,YAPC.311Cas9.Rep.B.p6_batch0,ACH-000332,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
62,YAPC.311Cas9.Rep.C.p6_batch0,ACH-000332,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
63,YAPC.311Cas9.Rep.D.p6_batch0,ACH-000332,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
64,KP4.311Cas9.Rep.A.p7_batch0,ACH-000265,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
65,KP4.311Cas9.Rep.B.p7_batch0,ACH-000265,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
66,KP4.311Cas9.Rep.C.p7_batch0,ACH-000265,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
67,KP4.311Cas9.Rep.D.p7_batch0,ACH-000265,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
68,NCI.H441.311Cas9.Rep.A.p6_batch0,ACH-000638,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
69,NCI.H441.311Cas9.Rep.B.p6_batch0,ACH-000638,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
70,NCI.H441.311Cas9.Rep.C.p6_batch0,ACH-000638,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
71,NCI.H441.311Cas9.Rep.D.p6_batch0,ACH-000638,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
72,NCI.H2087.311Cas9.Rep.A.p4_batch0,ACH-000841,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
73,NCI.H2087.311Cas9.Rep.B.p4_batch0,ACH-000841,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
74,NCI.H2087.311Cas9.Rep.C.p4_batch0,ACH-000841,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
75,NCI.H2087.311Cas9.Rep.D.p4_batch0,ACH-000841,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
76,KP.2.311Cas9.Rep.A.p5_batch0,ACH-000281,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
77,KP.2.311Cas9.Rep.B.p5_batch0,ACH-000281,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
78,KP.2.311Cas9.Rep.C.p5_batch0,ACH-000281,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
79,CFPAC.1.311Cas9.Rep.A.p6_batch0,ACH-000138,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
80,CFPAC.1.311Cas9.Rep.B.p6_batch0,ACH-000138,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
81,CFPAC.1.311Cas9.Rep.D.p6_batch0,ACH-000138,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
82,NCI.H2126.311Cas9.Rep.B.p5_batch0,ACH-000785,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
83,NCI.H2126.311Cas9.Rep.C.p5_batch0,ACH-000785,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
84,NCI.H2126.311Cas9.Rep.D.p5_batch0,ACH-000785,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
85,TCC.PAN2.311Cas9.Rep.A.p6_batch0,ACH-000502,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
86,TCC.PAN2.311Cas9.Rep.B.p6_batch0,ACH-000502,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
87,TCC.PAN2.311Cas9.Rep.C.p6_batch0,ACH-000502,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
88,NCI.H1648.311Cas9.Rep.A.p4_batch0,ACH-000766,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
89,NCI.H1648.311Cas9.Rep.B.p4_batch0,ACH-000766,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
90,NCI.H1648.311Cas9.Rep.C.p4_batch0,ACH-000766,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
91,NCI.H1648.311Cas9.Rep.D.p4_batch0,ACH-000766,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
92,PSN.1.311Cas9.Rep.A.p6_batch0,ACH-000320,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
93,PSN.1.311Cas9.Rep.B.p6_batch0,ACH-000320,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
94,PSN.1.311Cas9.Rep.C.p6_batch0,ACH-000320,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
95,PSN.1.311Cas9.Rep.D.p6_batch0,ACH-000320,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
96,NCI.H322.311Cas9.Rep.A.p6_batch0,ACH-000837,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
97,NCI.H322.311Cas9.Rep.B.p6_batch0,ACH-000837,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
98,NCI.H322.311Cas9.Rep.C.p6_batch0,ACH-000837,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
99,NCI.H322.311Cas9.Rep.D.p6_batch0,ACH-000837,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
100,SK.N.BE_2_.311Cas9.Rep.A.p6_batch0,ACH-000312,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
101,SK.N.BE_2_.311Cas9.Rep.B.p6_batch0,ACH-000312,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
102,SK.N.BE_2_.311Cas9.Rep.C.p6_batch0,ACH-000312,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
103,SK.N.BE_2_.311Cas9.Rep.D.p6_batch0,ACH-000312,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
104,CHP.212.311CAS9.Rep.A.p5_batch0,ACH-000120,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
105,CHP.212.311CAS9.Rep.B.p5_batch0,ACH-000120,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
106,CHP.212.311CAS9.Rep.C.p5_batch0,ACH-000120,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
107,CHP.212.311CAS9.Rep.D.p5_batch0,ACH-000120,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
108,NCI.H1437.311Cas9.Rep.A.p5_batch0,ACH-000589,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
109,NCI.H1437.311Cas9.Rep.B.p5_batch0,ACH-000589,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
110,NCI.H1437.311Cas9.Rep.C.p5_batch0,ACH-000589,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
111,KP.3.311Cas9.Rep.A.p5_batch0,ACH-000108,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
112,KP.3.311Cas9.Rep.B.p5_batch0,ACH-000108,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
113,KP.3.311Cas9.Rep.C.p5_batch0,ACH-000108,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
114,NCI.H2030.311Cas9.Rep.A.p6_batch0,ACH-000521,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
115,NCI.H2030.311Cas9.Rep.B.p6_batch0,ACH-000521,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
116,NCI.H2030.311Cas9.Rep.C.p6_batch0,ACH-000521,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
117,KELLY.311Cas9.Rep.A.p6_batch0,ACH-000259,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
118,KELLY.311Cas9.Rep.B.p6_batch0,ACH-000259,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
119,KELLY.311Cas9.Rep.D.p6_batch0,ACH-000259,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
120,NCI.H2291.311Cas9.Rep.A.p4_batch0,ACH-000718,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
121,NCI.H2291.311Cas9.Rep.B.p4_batch0,ACH-000718,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
122,NCI.H2291.311Cas9.Rep.C.p4_batch0,ACH-000718,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
123,COLO320.311Cas9.Rep.A.p6_batch0,ACH-000202,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
124,COLO320.311Cas9.Rep.B.p6_batch0,ACH-000202,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
125,COLO320.311Cas9.Rep.C.p6_batch0,ACH-000202,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
126,A427.311cas9.Rep.A.p4_batch0,ACH-000757,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
127,A427.311cas9.Rep.B.p4_batch0,ACH-000757,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
128,A427.311cas9.Rep.C.p4_batch0,ACH-000757,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
129,Karpas.299.311Cas9.Rep.A.p5_batch1,ACH-000053,pDNA.Avana4_010115_1.5Ex_batch1:pDNA.Avana4_060115_1.5Ex_batch1:pDNA.Avana4_0101215_0.55Ex_batch1:pDNA.Avana4_060115_0.55Ex_batch1
