,Algorithm,Dataset,nnmd,line
90,ComBat+QN,CCR-JACKS,-5.094617780332566,ACH-000266
91,ComBat+QN,CCR-JACKS,-5.075468754656776,ACH-000272
92,ComBat+QN,CCR-JACKS,-4.2377090002444815,ACH-000274
93,ComBat+QN,CCR-JACKS,-4.690103904392345,ACH-000277
94,ComBat+QN,CCR-JACKS,-4.784682421439109,ACH-000278
95,ComBat+QN,CCR-JACKS,-5.325470649380973,ACH-000279
96,ComBat+QN,CCR-JACKS,-4.226351703762382,ACH-000280
97,ComBat+QN,CCR-JACKS,-4.349189242977598,ACH-000281
98,ComBat+QN,CCR-JACKS,-5.437411504561758,ACH-000288
99,ComBat+QN,CCR-JACKS,-5.461530950004629,ACH-000290
100,ComBat+QN,CCR-JACKS,-5.066341553260062,ACH-000292
101,ComBat+QN,CCR-JACKS,-4.860452742228041,ACH-000294
102,ComBat+QN,CCR-JACKS,-4.24281163445823,ACH-000295
103,ComBat+QN,CCR-JACKS,-5.18845290686115,ACH-000296
104,ComBat+QN,CCR-JACKS,-5.536091137630836,ACH-000302
105,ComBat+QN,CCR-JACKS,-4.209699946477751,ACH-000304
106,ComBat+QN,CCR-JACKS,-5.584254663951892,ACH-000307
107,ComBat+QN,CCR-JACKS,-3.674344652104225,ACH-000310
108,ComBat+QN,CCR-JACKS,-4.738498104474274,ACH-000311
109,ComBat+QN,CCR-JACKS,-4.826054347328574,ACH-000312
110,ComBat+QN,CCR-JACKS,-4.657610700510789,ACH-000315
111,ComBat+QN,CCR-JACKS,-5.588545782202573,ACH-000316
112,ComBat+QN,CCR-JACKS,-4.682423023640111,ACH-000317
113,ComBat+QN,CCR-JACKS,-5.08201807501111,ACH-000319
114,ComBat+QN,CCR-JACKS,-5.03128841039049,ACH-000322
115,ComBat+QN,CCR-JACKS,-5.0447701723831475,ACH-000324
116,ComBat+QN,CCR-JACKS,-5.7290253553748345,ACH-000326
117,ComBat+QN,CCR-JACKS,-5.041707537991818,ACH-000329
118,ComBat+QN,CCR-JACKS,-5.0751289743154615,ACH-000330
119,ComBat+QN,CCR-JACKS,-5.25157246872269,ACH-000331
120,ComBat+QN,CCR-JACKS,-5.095476243797392,ACH-000332
121,ComBat+QN,CCR-JACKS,-3.995649008706783,ACH-000334
122,ComBat+QN,CCR-JACKS,-4.486165717253234,ACH-000335
123,ComBat+QN,CCR-JACKS,-4.841649853597997,ACH-000337
124,ComBat+QN,CCR-JACKS,-5.431276852925775,ACH-000339
125,ComBat+QN,CCR-JACKS,-5.08742644514011,ACH-000344
126,ComBat+QN,CCR-JACKS,-5.48984411829088,ACH-000348
127,ComBat+QN,CCR-JACKS,-5.521787181623091,ACH-000352
128,ComBat+QN,CCR-JACKS,-4.858395879016479,ACH-000356
129,ComBat+QN,CCR-JACKS,-4.775607127343879,ACH-000361
130,ComBat+QN,CCR-JACKS,-4.850430259179719,ACH-000362
131,ComBat+QN,CCR-JACKS,-4.9986697009373,ACH-000363
132,ComBat+QN,CCR-JACKS,-5.450115759929891,ACH-000364
133,ComBat+QN,CCR-JACKS,-5.05614684406383,ACH-000365
134,ComBat+QN,CCR-JACKS,-4.879036465178442,ACH-000368
135,ComBat+QN,CCR-JACKS,-5.355216373830033,ACH-000375
136,ComBat+QN,CCR-JACKS,-5.276236881928533,ACH-000378
137,ComBat+QN,CCR-JACKS,-5.376280697871745,ACH-000381
138,ComBat+QN,CCR-JACKS,-5.531695441758931,ACH-000387
139,ComBat+QN,CCR-JACKS,-4.9564428013424875,ACH-000389
140,ComBat+QN,CCR-JACKS,-4.730681691045588,ACH-000390
141,ComBat+QN,CCR-JACKS,-4.605800985703697,ACH-000393
142,ComBat+QN,CCR-JACKS,-5.489609505027058,ACH-000397
143,ComBat+QN,CCR-JACKS,-5.3883472955608385,ACH-000401
144,ComBat+QN,CCR-JACKS,-4.532858794709382,ACH-000402
145,ComBat+QN,CCR-JACKS,-4.685954796719625,ACH-000403
146,ComBat+QN,CCR-JACKS,-5.358327523794654,ACH-000404
147,ComBat+QN,CCR-JACKS,-5.497483459121607,ACH-000406
148,ComBat+QN,CCR-JACKS,-5.272801321553083,ACH-000407
149,ComBat+QN,CCR-JACKS,-5.468409296593427,ACH-000410
150,ComBat+QN,CCR-JACKS,-5.233960778981245,ACH-000415
151,ComBat+QN,CCR-JACKS,-5.639324224537803,ACH-000416
152,ComBat+QN,CCR-JACKS,-5.10362225996496,ACH-000420
153,ComBat+QN,CCR-JACKS,-5.397163799097694,ACH-000422
154,ComBat+QN,CCR-JACKS,-5.273950850303787,ACH-000425
155,ComBat+QN,CCR-JACKS,-4.243247605187477,ACH-000426
