,Algorithm,Dataset,nnmd,line
2258,ComBat+QN,CERES,-6.731171343465216,ACH-001368
2259,ComBat+QN,CERES,-7.3763988081843825,ACH-000113
2260,ComBat+QN,CERES,-6.437271592342227,ACH-000619
2261,ComBat+QN,CERES,-6.506568199478036,ACH-000383
2262,ComBat+QN,CERES,-6.6825985934476675,ACH-000544
2263,ComBat+QN,CERES,-6.304471021094287,ACH-001654
2264,ComBat+QN,CERES,-6.025560597348962,ACH-000794
2265,ComBat+QN,CERES,-5.81545028568739,ACH-001332
2266,ComBat+QN,CERES,-6.788360052841537,ACH-000601
2267,ComBat+QN,CERES,-6.475110985943912,ACH-000118
2268,ComBat+QN,CERES,-6.359235553610096,ACH-001496
2269,ComBat+QN,CERES,-6.012993624873553,ACH-000926
2270,ComBat+QN,CERES,-7.05919213805161,ACH-000769
2271,ComBat+QN,CERES,-6.906291163920075,ACH-000524
2272,ComBat+QN,CERES,-7.096293009283539,ACH-000527
2273,ComBat+QN,CERES,-6.211626954504163,ACH-000108
2274,ComBat+QN,CERES,-6.751227804642353,ACH-000911
2275,ComBat+QN,CERES,-6.251845081143746,ACH-000738
2276,ComBat+QN,CERES,-5.7103957765237245,ACH-000778
2277,ComBat+QN,CERES,-6.723839147201144,ACH-000843
2278,ComBat+QN,CERES,-6.1221410419118625,ACH-000858
2279,ComBat+QN,CERES,-5.888606573606624,ACH-000622
2280,ComBat+QN,CERES,-6.506317628221329,ACH-000714
2281,ComBat+QN,CERES,-6.51486361715991,ACH-000849
2282,ComBat+QN,CERES,-6.866690392754577,ACH-000573
2283,ComBat+QN,CERES,-5.968016074534707,ACH-000876
2284,ComBat+QN,CERES,-6.190050826354873,ACH-000510
2285,ComBat+QN,CERES,-6.8482378196911995,ACH-000980
2286,ComBat+QN,CERES,-6.528869615207029,ACH-000067
2287,ComBat+QN,CERES,-6.311389307157792,ACH-000007
2288,ComBat+QN,CERES,-6.135692780655474,ACH-000957
2289,ComBat+QN,CERES,-6.252037026440891,ACH-000293
2290,ComBat+QN,CERES,-6.143364471049696,ACH-000793
2291,ComBat+QN,CERES,-6.542311869263692,ACH-000841
2292,ComBat+QN,CERES,-5.66599381102739,ACH-000481
2293,ComBat+QN,CERES,-5.66781083601485,ACH-000035
2294,ComBat+QN,CERES,-5.716600900095019,ACH-000869
2295,ComBat+QN,CERES,-6.697022784606826,ACH-000781
2296,ComBat+QN,CERES,-6.524655037925721,ACH-000414
2297,ComBat+QN,CERES,-5.30776598376604,ACH-000434
2298,ComBat+QN,CERES,-6.161296697093729,ACH-000740
2299,ComBat+QN,CERES,-6.779961941220532,ACH-000788
2300,ComBat+QN,CERES,-6.435238217968425,ACH-000411
2301,ComBat+QN,CERES,-6.4201701542441745,ACH-000421
2302,ComBat+QN,CERES,-6.268886594851493,ACH-000958
2303,ComBat+QN,CERES,-5.715463643671081,ACH-000651
2304,ComBat+QN,CERES,-6.8400505340745985,ACH-000880
2305,ComBat+QN,CERES,-6.05045104807207,ACH-000846
2306,ComBat+QN,CERES,-6.91223703474612,ACH-000906
2307,ComBat+QN,CERES,-5.958141876253178,ACH-000374
2308,ComBat+QN,CERES,-5.866383890998692,ACH-000859
2309,ComBat+QN,CERES,-6.387059772054215,ACH-000223
2310,ComBat+QN,CERES,-6.618551173368164,ACH-000624
2311,ComBat+QN,CERES,-6.297236248882487,ACH-000699
2312,ComBat+QN,CERES,-6.294993710952953,ACH-000248
2313,ComBat+QN,CERES,-6.218447066463989,ACH-000681
2314,ComBat+QN,CERES,-6.781300928544528,ACH-000120
2315,ComBat+QN,CERES,-5.73755387774403,ACH-001715
2316,ComBat+QN,CERES,-7.716475400683157,ACH-000856
2317,ComBat+QN,CERES,-6.274937836466696,ACH-000832
2318,ComBat+QN,CERES,-7.0130959696166375,ACH-000518
2319,ComBat+QN,CERES,-6.268171626355348,ACH-000244
2320,ComBat+QN,CERES,-6.7827883764654215,ACH-000243
2321,ComBat+QN,CERES,-4.553099815350824,ACH-000350
2322,ComBat+QN,CERES,-6.657852182682433,ACH-000948
2323,ComBat+QN,CERES,-6.3009581212640375,ACH-000323
2324,ComBat+QN,CERES,-6.013063272488507,ACH-000548
2325,ComBat+QN,CERES,-6.604584732561487,ACH-000137
2326,ComBat+QN,CERES,-6.39760102610984,ACH-000784
2327,ComBat+QN,CERES,-5.29233180585298,ACH-000637
2328,ComBat+QN,CERES,-5.804374153701736,ACH-000824
2329,ComBat+QN,CERES,-6.493870561111728,ACH-000865
2330,ComBat+QN,CERES,-7.143823809325081,ACH-000809
2331,ComBat+QN,CERES,-6.233557723897416,ACH-000873
2332,ComBat+QN,CERES,-5.720465866082556,ACH-000855
2333,ComBat+QN,CERES,-6.468917370517766,ACH-000823
2334,ComBat+QN,CERES,-6.116185193656667,ACH-000711
2335,ComBat+QN,CERES,-6.50772043483856,ACH-001500
2336,ComBat+QN,CERES,-7.106753199196318,ACH-000913
2337,ComBat+QN,CERES,-6.2336706169759255,ACH-000585
2338,ComBat+QN,CERES,-6.025045742585224,ACH-000936
2339,ComBat+QN,CERES,-5.512726505724115,ACH-000308
2340,ComBat+QN,CERES,-6.798359482079383,ACH-000098
2341,ComBat+QN,CERES,-4.41969670006279,ACH-000878
2342,ComBat+QN,CERES,-6.228467065918855,ACH-000238
2343,ComBat+QN,CERES,-7.175125995444283,ACH-000965
2344,ComBat+QN,CERES,-6.8460199049137,ACH-000943
2345,ComBat+QN,CERES,-6.991070528176202,ACH-000260
2346,ComBat+QN,CERES,-5.477029131846244,ACH-000665
2347,ComBat+QN,CERES,-6.445161051031751,ACH-000748
2348,ComBat+QN,CERES,-5.859641896639909,ACH-000060
2349,ComBat+QN,CERES,-6.576890942658812,ACH-000235
2350,ComBat+QN,CERES,-5.748829252663857,ACH-000042
2351,ComBat+QN,CERES,-6.439347809286389,ACH-000291
2352,ComBat+QN,CERES,-6.71399931888433,ACH-000932
2353,ComBat+QN,CERES,-6.730753530055288,ACH-000437
2354,ComBat+QN,CERES,-5.667831131893939,ACH-000677
2355,ComBat+QN,CERES,-6.924605174095293,ACH-000885
2356,ComBat+QN,CERES,-6.220585856716662,ACH-000571
2357,ComBat+QN,CERES,-6.475264294015297,ACH-000009
2358,ComBat,CCR-JACKS,-5.261287291219617,ACH-000004
2359,ComBat,CCR-JACKS,-4.186030220679603,ACH-000005
2360,ComBat,CCR-JACKS,-5.03273450012507,ACH-000011
2361,ComBat,CCR-JACKS,-5.504725623720722,ACH-000012
2362,ComBat,CCR-JACKS,-5.821963918737916,ACH-000013
2363,ComBat,CCR-JACKS,-5.2704315000782715,ACH-000014
2364,ComBat,CCR-JACKS,-5.809003171449359,ACH-000015
2365,ComBat,CCR-JACKS,-4.982793419501948,ACH-000017
2366,ComBat,CCR-JACKS,-4.926857893444825,ACH-000018
2367,ComBat,CCR-JACKS,-4.843963386295313,ACH-000021
2368,ComBat,CCR-JACKS,-5.227481535533323,ACH-000022
2369,ComBat,CCR-JACKS,-5.7757494465542525,ACH-000025
2370,ComBat,CCR-JACKS,-5.5012810974001205,ACH-000028
2371,ComBat,CCR-JACKS,-5.690379763782033,ACH-000029
2372,ComBat,CCR-JACKS,-5.1605091860737,ACH-000036
2373,ComBat,CCR-JACKS,-4.501517114186447,ACH-000037
2374,ComBat,CCR-JACKS,-4.441822842149374,ACH-000039
2375,ComBat,CCR-JACKS,-5.258056695476464,ACH-000040
2376,ComBat,CCR-JACKS,-4.38939317448249,ACH-000041
2377,ComBat,CCR-JACKS,-4.769950964937584,ACH-000045
2378,ComBat,CCR-JACKS,-5.679588494272803,ACH-000047
2379,ComBat,CCR-JACKS,-4.941094835244883,ACH-000052
2380,ComBat,CCR-JACKS,-5.221082122307763,ACH-000053
2381,ComBat,CCR-JACKS,-5.531399657683502,ACH-000054
2382,ComBat,CCR-JACKS,-5.090825732674015,ACH-000055
2383,ComBat,CCR-JACKS,-5.3118101434475475,ACH-000070
2384,ComBat,CCR-JACKS,-4.076248261128217,ACH-000078
2385,ComBat,CCR-JACKS,-5.206493078952201,ACH-000082
2386,ComBat,CCR-JACKS,-4.730306114260831,ACH-000085
2387,ComBat,CCR-JACKS,-5.3713683188041745,ACH-000086
2388,ComBat,CCR-JACKS,-5.326022184769142,ACH-000087
2389,ComBat,CCR-JACKS,-5.085334602296553,ACH-000092
2390,ComBat,CCR-JACKS,-4.6203928509077405,ACH-000095
2391,ComBat,CCR-JACKS,-4.942954780570748,ACH-000096
2392,ComBat,CCR-JACKS,-5.181051677923608,ACH-000097
2393,ComBat,CCR-JACKS,-5.071224195129756,ACH-000099
2394,ComBat,CCR-JACKS,-4.274504653303959,ACH-000115
2395,ComBat,CCR-JACKS,-5.571639995265304,ACH-000116
2396,ComBat,CCR-JACKS,-5.569283989677226,ACH-000123
2397,ComBat,CCR-JACKS,-5.762736778254782,ACH-000127
2398,ComBat,CCR-JACKS,-4.962638525343483,ACH-000128
2399,ComBat,CCR-JACKS,-5.551118116801244,ACH-000133
2400,ComBat,CCR-JACKS,-5.463484373676084,ACH-000138
2401,ComBat,CCR-JACKS,-4.616700027981424,ACH-000141
2402,ComBat,CCR-JACKS,-5.26523200288138,ACH-000142
2403,ComBat,CCR-JACKS,-5.295628261986634,ACH-000143
2404,ComBat,CCR-JACKS,-5.018472341057172,ACH-000146
2405,ComBat,CCR-JACKS,-4.968028827179421,ACH-000150
2406,ComBat,CCR-JACKS,-4.907699313740308,ACH-000151
2407,ComBat,CCR-JACKS,-5.525329883521599,ACH-000152
2408,ComBat,CCR-JACKS,-4.473831633148359,ACH-000153
2409,ComBat,CCR-JACKS,-5.119167927019638,ACH-000159
2410,ComBat,CCR-JACKS,-4.841868519798172,ACH-000160
2411,ComBat,CCR-JACKS,-5.3512459119675855,ACH-000163
2412,ComBat,CCR-JACKS,-3.925263121251317,ACH-000167
2413,ComBat,CCR-JACKS,-4.5411304705991355,ACH-000168
2414,ComBat,CCR-JACKS,-5.595373651461293,ACH-000169
2415,ComBat,CCR-JACKS,-5.809066542906705,ACH-000178
2416,ComBat,CCR-JACKS,-5.6422135215809925,ACH-000182
2417,ComBat,CCR-JACKS,-4.393995513498342,ACH-000187
2418,ComBat,CCR-JACKS,-5.33771914371996,ACH-000188
2419,ComBat,CCR-JACKS,-4.25823440374359,ACH-000189
2420,ComBat,CCR-JACKS,-4.855720067958159,ACH-000190
2421,ComBat,CCR-JACKS,-5.365466370743501,ACH-000198
2422,ComBat,CCR-JACKS,-3.7493472540972252,ACH-000202
2423,ComBat,CCR-JACKS,-4.620460757526826,ACH-000206
2424,ComBat,CCR-JACKS,-4.692484819412163,ACH-000209
2425,ComBat,CCR-JACKS,-5.637542148229343,ACH-000211
2426,ComBat,CCR-JACKS,-5.342907839892582,ACH-000215
2427,ComBat,CCR-JACKS,-5.162866011283316,ACH-000217
2428,ComBat,CCR-JACKS,-4.980638596659281,ACH-000221
2429,ComBat,CCR-JACKS,-5.4416357540849765,ACH-000226
2430,ComBat,CCR-JACKS,-4.768129385755871,ACH-000228
2431,ComBat,CCR-JACKS,-5.618252808629225,ACH-000231
2432,ComBat,CCR-JACKS,-5.435332515455263,ACH-000233
2433,ComBat,CCR-JACKS,-4.349583629234986,ACH-000234
2434,ComBat,CCR-JACKS,-5.285618922620259,ACH-000237
2435,ComBat,CCR-JACKS,-5.40060569333697,ACH-000246
2436,ComBat,CCR-JACKS,-5.4378565367969935,ACH-000250
2437,ComBat,CCR-JACKS,-4.150082842920688,ACH-000251
2438,ComBat,CCR-JACKS,-5.123646454807225,ACH-000253
2439,ComBat,CCR-JACKS,-5.392732584449122,ACH-000255
2440,ComBat,CCR-JACKS,-4.846085520860103,ACH-000256
2441,ComBat,CCR-JACKS,-4.198149952300891,ACH-000257
2442,ComBat,CCR-JACKS,-3.60185335967585,ACH-000258
2443,ComBat,CCR-JACKS,-5.387948596968134,ACH-000259
2444,ComBat,CCR-JACKS,-5.398317933212573,ACH-000261
2445,ComBat,CCR-JACKS,-4.950668687753826,ACH-000262
2446,ComBat,CCR-JACKS,-3.771540643233056,ACH-000263
2447,ComBat,CCR-JACKS,-5.694375170472751,ACH-000264
2448,ComBat,CCR-JACKS,-5.248006716696624,ACH-000266
2449,ComBat,CCR-JACKS,-5.195122683859691,ACH-000272
2450,ComBat,CCR-JACKS,-4.3129136154737004,ACH-000274
2451,ComBat,CCR-JACKS,-4.715421908041685,ACH-000277
2452,ComBat,CCR-JACKS,-4.959809883380447,ACH-000278
2453,ComBat,CCR-JACKS,-5.386093642367815,ACH-000279
2454,ComBat,CCR-JACKS,-4.258291833184274,ACH-000280
2455,ComBat,CCR-JACKS,-4.410703770617644,ACH-000281
2456,ComBat,CCR-JACKS,-5.498433870662093,ACH-000288
2457,ComBat,CCR-JACKS,-5.58793989534929,ACH-000290
2458,ComBat,CCR-JACKS,-5.028100442449114,ACH-000292
2459,ComBat,CCR-JACKS,-4.800779076344874,ACH-000294
2460,ComBat,CCR-JACKS,-4.2293217381710235,ACH-000295
2461,ComBat,CCR-JACKS,-5.159353537492413,ACH-000296
2462,ComBat,CCR-JACKS,-5.681762346432167,ACH-000302
2463,ComBat,CCR-JACKS,-4.15359069856073,ACH-000304
2464,ComBat,CCR-JACKS,-5.720963406869614,ACH-000307
2465,ComBat,CCR-JACKS,-3.720009596384381,ACH-000310
2466,ComBat,CCR-JACKS,-4.755268681339552,ACH-000311
2467,ComBat,CCR-JACKS,-4.9182187099240045,ACH-000312
2468,ComBat,CCR-JACKS,-4.661751334818052,ACH-000315
2469,ComBat,CCR-JACKS,-5.57293605749349,ACH-000316
2470,ComBat,CCR-JACKS,-4.655474685671412,ACH-000317
2471,ComBat,CCR-JACKS,-5.239270912139231,ACH-000319
2472,ComBat,CCR-JACKS,-4.9013707976363055,ACH-000322
2473,ComBat,CCR-JACKS,-5.108950992525186,ACH-000324
2474,ComBat,CCR-JACKS,-5.682888760674129,ACH-000326
2475,ComBat,CCR-JACKS,-5.151565868377046,ACH-000329
2476,ComBat,CCR-JACKS,-5.101117566934784,ACH-000330
2477,ComBat,CCR-JACKS,-5.287557364843465,ACH-000331
2478,ComBat,CCR-JACKS,-5.188045266686316,ACH-000332
2479,ComBat,CCR-JACKS,-4.012031010023701,ACH-000334
2480,ComBat,CCR-JACKS,-4.4708028867623435,ACH-000335
2481,ComBat,CCR-JACKS,-4.841664835706955,ACH-000337
2482,ComBat,CCR-JACKS,-5.555853981658839,ACH-000339
2483,ComBat,CCR-JACKS,-5.056893605010646,ACH-000344
2484,ComBat,CCR-JACKS,-5.579960238400533,ACH-000348
2485,ComBat,CCR-JACKS,-5.660555912486354,ACH-000352
2486,ComBat,CCR-JACKS,-4.841690162527173,ACH-000356
2487,ComBat,CCR-JACKS,-4.843505453661255,ACH-000361
2488,ComBat,CCR-JACKS,-4.828490236679129,ACH-000362
2489,ComBat,CCR-JACKS,-5.0403687969718876,ACH-000363
2490,ComBat,CCR-JACKS,-5.481450596947674,ACH-000364
2491,ComBat,CCR-JACKS,-5.058302637091154,ACH-000365
2492,ComBat,CCR-JACKS,-4.952618353981224,ACH-000368
2493,ComBat,CCR-JACKS,-5.320480371726513,ACH-000375
2494,ComBat,CCR-JACKS,-5.272069075356225,ACH-000378
2495,ComBat,CCR-JACKS,-5.381605963208475,ACH-000381
2496,ComBat,CCR-JACKS,-5.629613402306387,ACH-000387
2497,ComBat,CCR-JACKS,-5.02636986507004,ACH-000389
2498,ComBat,CCR-JACKS,-4.880318186367403,ACH-000390
2499,ComBat,CCR-JACKS,-4.78471694183459,ACH-000393
2500,ComBat,CCR-JACKS,-5.600696522676875,ACH-000397
2501,ComBat,CCR-JACKS,-5.248354680232266,ACH-000401
2502,ComBat,CCR-JACKS,-4.3969180003550905,ACH-000402
2503,ComBat,CCR-JACKS,-4.77695332617192,ACH-000403
2504,ComBat,CCR-JACKS,-5.187905544260537,ACH-000404
2505,ComBat,CCR-JACKS,-5.526836347010185,ACH-000406
2506,ComBat,CCR-JACKS,-5.363339864762519,ACH-000407
2507,ComBat,CCR-JACKS,-5.58322282786852,ACH-000410
2508,ComBat,CCR-JACKS,-5.316009782648962,ACH-000415
2509,ComBat,CCR-JACKS,-5.82264722226367,ACH-000416
2510,ComBat,CCR-JACKS,-5.169434955356672,ACH-000420
2511,ComBat,CCR-JACKS,-5.410236860018414,ACH-000422
2512,ComBat,CCR-JACKS,-5.428894350853153,ACH-000425
2513,ComBat,CCR-JACKS,-4.253469626962632,ACH-000426
2514,ComBat,CCR-JACKS,-4.549521072987093,ACH-000433
2515,ComBat,CCR-JACKS,-4.578911803025852,ACH-000436
2516,ComBat,CCR-JACKS,-5.414413909668048,ACH-000444
2517,ComBat,CCR-JACKS,-5.229078091642053,ACH-000445
2518,ComBat,CCR-JACKS,-5.329187571688963,ACH-000448
2519,ComBat,CCR-JACKS,-5.027062090823475,ACH-000450
2520,ComBat,CCR-JACKS,-4.711414201211518,ACH-000454
2521,ComBat,CCR-JACKS,-5.37377405405587,ACH-000458
2522,ComBat,CCR-JACKS,-3.04796148668351,ACH-000459
2523,ComBat,CCR-JACKS,-5.549049588894708,ACH-000460
2524,ComBat,CCR-JACKS,-5.163141626208221,ACH-000461
2525,ComBat,CCR-JACKS,-4.995532532996992,ACH-000463
2526,ComBat,CCR-JACKS,-4.310741891078954,ACH-000466
2527,ComBat,CCR-JACKS,-5.08785400316212,ACH-000467
2528,ComBat,CCR-JACKS,-4.533042447414588,ACH-000468
2529,ComBat,CCR-JACKS,-4.752528829810533,ACH-000470
2530,ComBat,CCR-JACKS,-5.538321783100954,ACH-000471
2531,ComBat,CCR-JACKS,-5.370471716959508,ACH-000472
2532,ComBat,CCR-JACKS,-4.815674539434785,ACH-000473
2533,ComBat,CCR-JACKS,-5.603053498470797,ACH-000475
2534,ComBat,CCR-JACKS,-4.989043753137654,ACH-000476
2535,ComBat,CCR-JACKS,-4.6523833085158985,ACH-000477
2536,ComBat,CCR-JACKS,-5.117358557912459,ACH-000478
2537,ComBat,CCR-JACKS,-5.6210028148148545,ACH-000480
2538,ComBat,CCR-JACKS,-4.7511620975468185,ACH-000483
2539,ComBat,CCR-JACKS,-4.48031774817999,ACH-000484
2540,ComBat,CCR-JACKS,-4.855316613843862,ACH-000485
2541,ComBat,CCR-JACKS,-5.544238068068572,ACH-000486
2542,ComBat,CCR-JACKS,-5.480654736872807,ACH-000487
2543,ComBat,CCR-JACKS,-5.209116669698253,ACH-000488
2544,ComBat,CCR-JACKS,-5.68438795745935,ACH-000490
2545,ComBat,CCR-JACKS,-4.448580876253291,ACH-000491
2546,ComBat,CCR-JACKS,-5.224055507203609,ACH-000493
2547,ComBat,CCR-JACKS,-5.026661238352394,ACH-000495
2548,ComBat,CCR-JACKS,-5.523673992234902,ACH-000496
2549,ComBat,CCR-JACKS,-3.346537278743706,ACH-000498
2550,ComBat,CCR-JACKS,-4.610432033475251,ACH-000499
2551,ComBat,CCR-JACKS,-3.562859609862655,ACH-000500
2552,ComBat,CCR-JACKS,-5.489980583191547,ACH-000502
2553,ComBat,CCR-JACKS,-4.509600903136356,ACH-000503
2554,ComBat,CCR-JACKS,-5.44816642338898,ACH-000507
2555,ComBat,CCR-JACKS,-5.341281683743066,ACH-000511
2556,ComBat,CCR-JACKS,-4.534138820265093,ACH-000512
2557,ComBat,CCR-JACKS,-5.1015052687122315,ACH-000516
2558,ComBat,CCR-JACKS,-5.423649440667174,ACH-000517
2559,ComBat,CCR-JACKS,-4.815501474784399,ACH-000520
2560,ComBat,CCR-JACKS,-5.123745590749887,ACH-000521
2561,ComBat,CCR-JACKS,-5.46647484150541,ACH-000522
2562,ComBat,CCR-JACKS,-5.850707340541457,ACH-000528
2563,ComBat,CCR-JACKS,-6.04196675557417,ACH-000537
2564,ComBat,CCR-JACKS,-4.195945127476322,ACH-000541
2565,ComBat,CCR-JACKS,-5.222964089542751,ACH-000542
2566,ComBat,CCR-JACKS,-5.446686187371717,ACH-000545
2567,ComBat,CCR-JACKS,-4.7802724340045595,ACH-000547
2568,ComBat,CCR-JACKS,-4.9865974031234535,ACH-000549
2569,ComBat,CCR-JACKS,-5.210324565890358,ACH-000550
2570,ComBat,CCR-JACKS,-4.903213305634978,ACH-000556
2571,ComBat,CCR-JACKS,-3.610104481666069,ACH-000557
2572,ComBat,CCR-JACKS,-5.874775012044848,ACH-000570
2573,ComBat,CCR-JACKS,-4.852092507434151,ACH-000576
2574,ComBat,CCR-JACKS,-4.201419517779188,ACH-000577
2575,ComBat,CCR-JACKS,-5.090939868193622,ACH-000580
2576,ComBat,CCR-JACKS,-5.394584364895954,ACH-000588
2577,ComBat,CCR-JACKS,-5.492704341757974,ACH-000589
2578,ComBat,CCR-JACKS,-5.122977118580338,ACH-000591
2579,ComBat,CCR-JACKS,-5.415232577105946,ACH-000592
2580,ComBat,CCR-JACKS,-5.576156261928015,ACH-000593
2581,ComBat,CCR-JACKS,-4.972713209479306,ACH-000596
2582,ComBat,CCR-JACKS,-4.634855622464532,ACH-000600
2583,ComBat,CCR-JACKS,-4.414328060905517,ACH-000604
2584,ComBat,CCR-JACKS,-4.472254257620638,ACH-000605
2585,ComBat,CCR-JACKS,-5.158062500455881,ACH-000606
2586,ComBat,CCR-JACKS,-4.327311795131345,ACH-000608
2587,ComBat,CCR-JACKS,-4.728100716688479,ACH-000614
2588,ComBat,CCR-JACKS,-4.946026226426452,ACH-000616
2589,ComBat,CCR-JACKS,-5.2704742506263615,ACH-000618
2590,ComBat,CCR-JACKS,-5.822086833892514,ACH-000620
2591,ComBat,CCR-JACKS,-5.0584329197009446,ACH-000621
2592,ComBat,CCR-JACKS,-5.177986456051002,ACH-000623
2593,ComBat,CCR-JACKS,-5.567346528747502,ACH-000627
2594,ComBat,CCR-JACKS,-5.773117780004203,ACH-000630
2595,ComBat,CCR-JACKS,-5.481450003239437,ACH-000632
2596,ComBat,CCR-JACKS,-5.08302905756147,ACH-000633
2597,ComBat,CCR-JACKS,-5.162796980639895,ACH-000638
2598,ComBat,CCR-JACKS,-5.374867053980711,ACH-000639
2599,ComBat,CCR-JACKS,-4.253633052749754,ACH-000646
2600,ComBat,CCR-JACKS,-5.231203676156957,ACH-000647
2601,ComBat,CCR-JACKS,-4.769228809722718,ACH-000648
2602,ComBat,CCR-JACKS,-5.025018857617238,ACH-000649
2603,ComBat,CCR-JACKS,-4.822298950395594,ACH-000653
2604,ComBat,CCR-JACKS,-5.48666679078314,ACH-000654
2605,ComBat,CCR-JACKS,-5.2797402429978275,ACH-000655
2606,ComBat,CCR-JACKS,-4.78853391514538,ACH-000658
2607,ComBat,CCR-JACKS,-5.405156007479311,ACH-000661
2608,ComBat,CCR-JACKS,-5.0644776163601195,ACH-000663
2609,ComBat,CCR-JACKS,-5.590835423767196,ACH-000671
2610,ComBat,CCR-JACKS,-5.23403557953753,ACH-000673
2611,ComBat,CCR-JACKS,-5.570903541889991,ACH-000676
2612,ComBat,CCR-JACKS,-5.448554214285311,ACH-000682
2613,ComBat,CCR-JACKS,-5.0730028125477515,ACH-000683
2614,ComBat,CCR-JACKS,-4.301513527957258,ACH-000684
2615,ComBat,CCR-JACKS,-4.713327255199835,ACH-000688
2616,ComBat,CCR-JACKS,-5.811345182214399,ACH-000693
2617,ComBat,CCR-JACKS,-4.13416110461561,ACH-000695
2618,ComBat,CCR-JACKS,-4.941668074726699,ACH-000697
2619,ComBat,CCR-JACKS,-4.045010382998911,ACH-000700
2620,ComBat,CCR-JACKS,-4.355687208342993,ACH-000701
2621,ComBat,CCR-JACKS,-5.255660504312467,ACH-000702
2622,ComBat,CCR-JACKS,-5.958810953141929,ACH-000706
2623,ComBat,CCR-JACKS,-4.763429501721174,ACH-000713
2624,ComBat,CCR-JACKS,-4.794154413465538,ACH-000718
2625,ComBat,CCR-JACKS,-5.492112882628486,ACH-000720
2626,ComBat,CCR-JACKS,-5.353217939913591,ACH-000721
2627,ComBat,CCR-JACKS,-4.191464912222151,ACH-000724
2628,ComBat,CCR-JACKS,-4.498126073063078,ACH-000725
2629,ComBat,CCR-JACKS,-4.9335660655616795,ACH-000732
2630,ComBat,CCR-JACKS,-5.643655026143865,ACH-000734
2631,ComBat,CCR-JACKS,-5.860931886580406,ACH-000735
2632,ComBat,CCR-JACKS,-4.973147456877979,ACH-000736
2633,ComBat,CCR-JACKS,-4.950845829489114,ACH-000739
2634,ComBat,CCR-JACKS,-4.470918183288776,ACH-000746
2635,ComBat,CCR-JACKS,-5.841590194519814,ACH-000747
2636,ComBat,CCR-JACKS,-5.528200531614874,ACH-000753
2637,ComBat,CCR-JACKS,-4.549583103525449,ACH-000757
2638,ComBat,CCR-JACKS,-5.2828008596015925,ACH-000758
2639,ComBat,CCR-JACKS,-5.224391875118342,ACH-000760
2640,ComBat,CCR-JACKS,-5.1367174427625075,ACH-000762
2641,ComBat,CCR-JACKS,-4.646249002041473,ACH-000763
2642,ComBat,CCR-JACKS,-4.972692026747764,ACH-000764
2643,ComBat,CCR-JACKS,-5.0233165702133835,ACH-000765
2644,ComBat,CCR-JACKS,-5.064840414879945,ACH-000766
2645,ComBat,CCR-JACKS,-4.3780525215362065,ACH-000767
2646,ComBat,CCR-JACKS,-4.792922801928328,ACH-000770
2647,ComBat,CCR-JACKS,-5.748883842983151,ACH-000771
2648,ComBat,CCR-JACKS,-4.945239016514045,ACH-000773
2649,ComBat,CCR-JACKS,-4.779516562287771,ACH-000776
2650,ComBat,CCR-JACKS,-5.251671727174399,ACH-000777
2651,ComBat,CCR-JACKS,-4.881282585620915,ACH-000782
2652,ComBat,CCR-JACKS,-4.350289083723884,ACH-000783
2653,ComBat,CCR-JACKS,-4.833780866981972,ACH-000785
2654,ComBat,CCR-JACKS,-4.868639345618419,ACH-000790
2655,ComBat,CCR-JACKS,-4.679294583017016,ACH-000791
2656,ComBat,CCR-JACKS,-5.481508918615593,ACH-000792
2657,ComBat,CCR-JACKS,-5.036656432821583,ACH-000796
2658,ComBat,CCR-JACKS,-4.558283566219462,ACH-000799
2659,ComBat,CCR-JACKS,-4.567697190632799,ACH-000800
2660,ComBat,CCR-JACKS,-5.243699623958905,ACH-000801
2661,ComBat,CCR-JACKS,-5.668924132717602,ACH-000802
2662,ComBat,CCR-JACKS,-4.297944852860974,ACH-000804
2663,ComBat,CCR-JACKS,-4.8547169908645,ACH-000805
2664,ComBat,CCR-JACKS,-4.585771962758585,ACH-000810
2665,ComBat,CCR-JACKS,-5.0460744631743335,ACH-000811
2666,ComBat,CCR-JACKS,-5.3948877680996645,ACH-000819
2667,ComBat,CCR-JACKS,-4.037135198552769,ACH-000820
2668,ComBat,CCR-JACKS,-4.575887370481767,ACH-000821
2669,ComBat,CCR-JACKS,-5.3035325664833275,ACH-000822
2670,ComBat,CCR-JACKS,-5.424001831732895,ACH-000827
2671,ComBat,CCR-JACKS,-5.006198008465978,ACH-000829
2672,ComBat,CCR-JACKS,-5.2196757355746985,ACH-000831
2673,ComBat,CCR-JACKS,-4.87620756954234,ACH-000833
2674,ComBat,CCR-JACKS,-5.6391720096521984,ACH-000834
2675,ComBat,CCR-JACKS,-5.528967369205644,ACH-000835
2676,ComBat,CCR-JACKS,-5.004454302128347,ACH-000836
2677,ComBat,CCR-JACKS,-5.574534303430548,ACH-000837
2678,ComBat,CCR-JACKS,-4.60799377267041,ACH-000838
2679,ComBat,CCR-JACKS,-4.975754655158147,ACH-000839
2680,ComBat,CCR-JACKS,-4.4638364811030495,ACH-000840
2681,ComBat,CCR-JACKS,-5.3658854770112,ACH-000848
2682,ComBat,CCR-JACKS,-5.174072476323585,ACH-000851
2683,ComBat,CCR-JACKS,-5.592197123114034,ACH-000853
2684,ComBat,CCR-JACKS,-5.203016676130447,ACH-000862
2685,ComBat,CCR-JACKS,-5.346622023855376,ACH-000866
